Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,4.42,4.98,4.42,4.93,13700,4.93
2014-02-21,4.81,4.81,4.49,4.49,1800,4.49
2014-02-20,4.73,4.85,4.25,4.80,30200,4.80
2014-02-19,4.30,4.32,4.25,4.25,5100,4.25
2014-02-18,4.34,4.37,4.32,4.37,1200,4.37
2014-02-14,4.29,4.32,4.27,4.31,2200,4.31
2014-02-13,4.34,4.53,4.34,4.38,2300,4.38
2014-02-12,4.54,4.69,4.38,4.38,10900,4.38
2014-02-11,4.55,4.74,4.26,4.74,1900,4.74
2014-02-10,4.40,4.56,4.19,4.31,14300,4.31
2014-02-07,4.81,4.95,4.80,4.82,8500,4.82
2014-02-06,4.48,4.80,4.48,4.77,21200,4.77
2014-02-05,4.85,4.90,4.63,4.64,1000,4.64
2014-02-04,4.49,4.93,4.49,4.69,2600,4.69
2014-02-03,4.43,4.43,4.43,4.43,000,4.43
2014-01-31,4.43,4.43,4.43,4.43,000,4.43
2014-01-30,4.17,4.43,4.17,4.43,2300,4.43
2014-01-29,4.55,4.55,4.10,4.10,48100,4.10
2014-01-28,4.67,4.95,4.34,4.34,19600,4.34
2014-01-27,4.38,4.96,4.37,4.65,12300,4.65
2014-01-24,4.22,4.60,4.22,4.24,400,4.24
2014-01-23,4.46,4.50,4.18,4.25,17100,4.25
2014-01-22,4.50,4.52,4.28,4.28,3600,4.28
2014-01-21,4.29,4.62,4.29,4.39,10300,4.39
2014-01-17,4.13,4.33,4.13,4.33,800,4.33
2014-01-16,4.10,4.24,4.09,4.24,5500,4.24
2014-01-15,4.11,4.30,4.10,4.10,2000,4.10
2014-01-14,3.94,3.97,3.94,3.96,2100,3.96
2014-01-13,4.01,4.01,4.01,4.01,100,4.01
2014-01-10,3.85,4.23,3.85,4.12,5700,4.12
2014-01-09,3.85,3.85,3.85,3.85,000,3.85
2014-01-08,4.02,4.25,3.85,3.85,2700,3.85
2014-01-07,4.07,4.07,3.96,3.96,600,3.96
2014-01-06,4.00,4.95,4.00,4.31,1900,4.31
2014-01-03,3.78,4.05,3.78,4.00,14800,4.00
2014-01-02,3.89,3.89,3.80,3.85,4300,3.85
2013-12-31,3.90,3.90,3.81,3.85,1700,3.85
2013-12-30,3.77,3.89,3.76,3.76,7700,3.76
2013-12-27,3.73,3.75,3.73,3.75,1800,3.75
2013-12-26,3.73,3.81,3.70,3.81,6000,3.81
2013-12-24,3.72,3.72,3.72,3.72,1000,3.72
2013-12-23,3.61,4.00,3.61,3.85,15700,3.85
2013-12-20,3.63,3.72,3.60,3.60,3200,3.60
2013-12-19,3.91,3.91,3.60,3.60,18300,3.60
2013-12-18,3.76,3.82,3.72,3.82,5500,3.82
2013-12-17,3.68,3.87,3.68,3.87,2600,3.87
2013-12-16,3.65,3.68,3.62,3.66,7100,3.66
2013-12-13,3.76,3.76,3.62,3.74,5300,3.74
2013-12-12,3.59,3.69,3.59,3.69,2800,3.69
2013-12-11,3.72,3.77,3.42,3.55,37400,3.55
2013-12-10,3.88,3.88,3.60,3.74,11100,3.74
2013-12-09,3.88,3.88,3.76,3.77,400,3.77
2013-12-06,3.85,3.85,3.85,3.85,1700,3.85
2013-12-05,3.94,4.05,3.84,3.90,7600,3.90
2013-12-04,3.99,3.99,3.93,3.95,3800,3.95
2013-12-03,3.96,3.96,3.96,3.96,600,3.96
2013-12-02,4.04,4.10,3.99,4.00,19300,4.00
2013-11-29,3.93,4.10,3.93,4.01,1200,4.01
