Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,39.81,41.81,38.54,41.15,92200,41.15
2014-02-21,39.22,40.79,39.15,40.01,102900,40.01
2014-02-20,39.29,41.59,39.18,39.32,142200,39.32
2014-02-19,41.14,41.37,38.39,39.37,55600,39.37
2014-02-18,38.42,42.16,38.01,41.00,139600,41.00
2014-02-14,41.26,41.74,36.50,37.95,127700,37.95
2014-02-13,39.00,41.98,38.52,41.58,62000,41.58
2014-02-12,38.53,44.00,38.53,41.14,137500,41.14
2014-02-11,35.09,39.89,33.55,38.52,303600,38.52
2014-02-10,32.75,33.28,31.50,32.40,36200,32.40
2014-02-07,32.30,33.34,31.95,32.46,55000,32.46
2014-02-06,32.08,32.40,31.56,32.12,55000,32.12
2014-02-05,30.08,32.78,30.08,31.89,64800,31.89
2014-02-04,31.52,33.97,31.46,32.37,76700,32.37
2014-02-03,33.34,35.02,29.71,31.50,137600,31.50
2014-01-31,33.34,33.34,31.82,33.06,119300,33.06
2014-01-30,32.32,34.50,31.90,33.76,266100,33.76
2014-01-29,35.87,35.87,31.77,32.72,240700,32.72
2014-01-28,36.83,36.89,34.74,35.85,323600,35.85
2014-01-27,38.51,38.51,35.33,36.93,403200,36.93
2014-01-24,36.49,38.81,35.94,38.03,223600,38.03
2014-01-23,34.52,37.14,34.34,36.51,255300,36.51
2014-01-22,35.29,35.36,33.70,34.79,298100,34.79
2014-01-21,34.05,35.87,33.03,35.10,353600,35.10
2014-01-17,31.55,34.40,31.55,33.63,151800,33.63
2014-01-16,30.46,32.18,30.46,31.50,147100,31.50
2014-01-15,29.93,31.19,29.93,30.42,118300,30.42
2014-01-14,27.72,30.98,27.50,29.94,494500,29.94
2014-01-13,27.51,28.03,26.64,27.47,118400,27.47
2014-01-10,26.00,28.18,26.00,27.30,66600,27.30
2014-01-09,25.15,29.00,25.15,27.31,154000,27.31
2014-01-08,26.11,26.90,25.50,25.72,87000,25.72
2014-01-07,26.95,26.95,25.51,26.07,134700,26.07
2014-01-06,25.40,26.95,24.01,26.94,122400,26.94
2014-01-03,23.29,25.22,22.11,25.16,82100,25.16
2014-01-02,25.17,25.48,22.42,23.14,89800,23.14
2013-12-31,25.11,26.00,24.75,25.00,89200,25.00
2013-12-30,25.26,25.90,24.95,25.00,45800,25.00
2013-12-27,24.76,25.49,24.51,25.34,55900,25.34
2013-12-26,24.86,25.22,24.65,24.66,40100,24.66
2013-12-24,25.82,25.82,24.70,24.84,19100,24.84
2013-12-23,25.41,25.77,23.71,25.61,71400,25.61
2013-12-20,26.17,26.99,23.77,24.81,1288700,24.81
2013-12-19,26.97,27.87,26.00,26.03,164800,26.03
2013-12-18,29.38,29.38,24.24,28.03,461200,28.03
2013-12-17,29.45,29.64,27.44,28.54,220900,28.54
2013-12-16,26.00,30.45,26.00,28.99,314700,28.99
2013-12-13,24.35,26.77,24.24,25.92,790200,25.92
2013-12-12,25.00,25.00,23.00,24.57,384300,24.57
2013-12-11,23.00,24.70,22.12,23.29,189000,23.29
2013-12-10,22.00,23.38,20.71,23.30,508300,23.30
2013-12-09,20.08,21.40,19.25,19.99,62900,19.99
2013-12-06,19.86,21.34,19.82,20.23,111800,20.23
2013-12-05,18.63,20.00,18.00,19.60,65700,19.60
2013-12-04,18.49,19.00,18.12,18.59,59900,18.59
2013-12-03,17.64,18.88,16.79,18.66,131400,18.66
2013-12-02,17.19,17.75,16.61,17.50,138100,17.50
2013-11-29,16.86,17.47,16.51,17.19,121800,17.19
2013-11-27,15.51,17.40,15.51,16.88,153700,16.88
2013-11-26,14.36,16.25,13.38,15.45,320600,15.45
2013-11-25,13.42,14.40,13.00,14.30,308000,14.30
2013-11-22,13.15,13.30,12.70,13.30,115100,13.30
2013-11-21,12.00,12.97,11.90,12.64,112700,12.64
2013-11-20,12.00,12.20,11.90,12.00,82800,12.00
2013-11-19,12.00,12.16,11.91,12.01,90200,12.01
2013-11-18,11.95,12.20,11.95,12.15,223300,12.15
2013-11-15,12.59,12.68,11.55,12.07,2653500,12.07
